#Position (bp)	mapping quality
312124.5	2.518867924528302
936372.5	0.0
1560620.5	0.0
2184868.5	0.0
2809116.5	0.0
3433364.5	0.0
4057612.5	0.0
4681860.5	0.0
5306108.5	0.0
5930356.5	0.0
6554604.5	0.0
7178852.5	0.0
7803100.5	0.0
8427348.5	0.0
9051596.5	0.0
9675844.5	0.0
1.03000925E7	0.0
1.09243405E7	0.0
1.15485885E7	0.0
1.21728365E7	0.0
1.27970845E7	0.0
1.34213325E7	0.0
1.40455805E7	0.0
1.46698285E7	0.0
1.52940765E7	0.0
1.59183245E7	0.0
1.65425725E7	0.0
1.71668205E7	0.0
1.77910685E7	0.0
1.84153165E7	0.0
1.90395645E7	0.0
1.96638125E7	0.0
2.02880605E7	0.0
2.09123085E7	0.0
2.15365565E7	0.0
2.21608045E7	0.0
2.27850525E7	0.0
2.34093005E7	0.0
2.40335485E7	0.0
2.46577965E7	0.0
2.52820445E7	0.0
2.59062925E7	0.0
2.65305405E7	0.0
2.71547885E7	0.0
2.77790365E7	0.0
2.84032845E7	0.0
2.90275325E7	0.0
2.96517805E7	0.0
3.02760285E7	0.0
3.09002765E7	0.0
3.15245245E7	0.0
3.21487725E7	0.0
3.27730205E7	0.0
3.33972685E7	0.0
3.40215165E7	0.0
3.46457645E7	0.0
3.52700125E7	0.0
3.58942605E7	0.0
3.65185085E7	0.0
3.71427565E7	0.0
3.77670045E7	0.0
3.83912525E7	0.0
3.90155005E7	0.0
3.96397485E7	0.0
4.02639965E7	0.0
4.08882445E7	0.0
4.15124925E7	0.0
4.21367405E7	0.0
4.27609885E7	0.0
4.33852365E7	0.0
4.40094845E7	0.0
4.46337325E7	0.0
4.52579805E7	0.0
4.58822285E7	0.0
4.65064765E7	0.0
4.71307245E7	0.0
4.77549725E7	0.0
4.83792205E7	0.0
4.90034685E7	2.0
4.96277165E7	0.0
5.02519645E7	0.0
5.08762125E7	0.0
5.15004605E7	0.0
5.21247085E7	0.0
5.27489565E7	0.0
5.33732045E7	0.0
5.39974525E7	0.0
5.46217005E7	0.0
5.52459485E7	0.0
5.58701965E7	0.0
5.64944445E7	0.0
5.71186925E7	0.0
5.77429405E7	0.0
5.83671885E7	0.0
5.89914365E7	0.0
5.96156845E7	0.0
6.02399325E7	0.0
6.08641805E7	0.0
6.14884285E7	0.0
6.21126765E7	0.0
6.27369245E7	0.0
6.33611725E7	0.0
6.39854205E7	0.0
6.46096685E7	0.0
6.52339165E7	0.0
6.58581645E7	0.0
6.64824125E7	0.0
6.71066605E7	0.0
6.77309085E7	0.0
6.83551565E7	0.0
6.89794045E7	0.0
6.96036525E7	0.0
7.02279005E7	26.449864498644985
7.08521485E7	0.0
7.14763965E7	0.0
7.21006445E7	0.0
7.27248925E7	0.0
7.33491405E7	0.0
7.39733885E7	0.0
7.45976365E7	0.0
7.52218845E7	0.0
7.58461325E7	0.0
7.64703805E7	0.0
7.70946285E7	0.0
7.77188765E7	0.0
7.83431245E7	0.0
7.89673725E7	0.0
7.95916205E7	0.0
8.02158685E7	0.0
8.08401165E7	0.0
8.14643645E7	0.0
8.20886125E7	0.0
8.27128605E7	0.0
8.33371085E7	0.0
8.39613565E7	0.0
8.45856045E7	0.0
8.52098525E7	0.0
8.58341005E7	0.0
8.64583485E7	0.0
8.70825965E7	0.0
8.77068445E7	0.0
8.83310925E7	0.0
8.89553405E7	0.0
8.95795885E7	0.0
9.02038365E7	0.0
9.08280845E7	0.0
9.14523325E7	0.0
9.20765805E7	0.0
9.27008285E7	0.0
9.33250765E7	0.0
9.39493245E7	0.0
9.45735725E7	0.0
9.51978205E7	0.0
9.58220685E7	0.0
9.64463165E7	0.0
9.70705645E7	0.0
9.76948125E7	0.0
9.83190605E7	0.0
9.89433085E7	0.0
9.95675565E7	0.0
1.001918045E8	0.0
1.008160525E8	0.0
1.014403005E8	0.0
1.020645485E8	0.0
1.026887965E8	0.0
1.033130445E8	0.0
1.039372925E8	0.0
1.045615405E8	0.0
1.051857885E8	0.0
1.058100365E8	0.0
1.064342845E8	0.0
1.070585325E8	0.0
1.076827805E8	0.0
1.083070285E8	0.0
1.089312765E8	0.0
1.095555245E8	0.0
1.101797725E8	0.0
1.108040205E8	0.0
1.114282685E8	0.0
1.120525165E8	0.0
1.126767645E8	0.0
1.133010125E8	0.0
1.139252605E8	0.0
1.145495085E8	0.0
1.151737565E8	0.0
1.157980045E8	0.0
1.164222525E8	0.0
1.170465005E8	0.0
1.176707485E8	0.0
1.182949965E8	0.0
1.189192445E8	0.0
1.195434925E8	0.0
1.201677405E8	0.0
1.207919885E8	0.0
1.214162365E8	0.0
1.220404845E8	0.0
1.226647325E8	0.0
1.232889805E8	0.0
1.239132285E8	0.0
1.245374765E8	0.0
1.251617245E8	0.0
1.257859725E8	0.0
1.264102205E8	0.0
1.270344685E8	0.0
1.276587165E8	0.0
1.282829645E8	0.0
1.289072125E8	0.0
1.295314605E8	0.0
1.301557085E8	0.0
1.307799565E8	0.0
1.314042045E8	0.0
1.320284525E8	0.0
1.326527005E8	0.0
1.332769485E8	0.0
1.339011965E8	0.0
1.345254445E8	0.0
1.351496925E8	0.0
1.357739405E8	0.0
1.363981885E8	0.0
1.370224365E8	0.0
1.376466845E8	0.0
1.382709325E8	0.0
1.388951805E8	0.0
1.395194285E8	0.0
1.401436765E8	0.0
1.407679245E8	0.0
1.413921725E8	0.0
1.420164205E8	0.0
1.426406685E8	0.0
1.432649165E8	0.0
1.438891645E8	0.0
1.445134125E8	0.0
1.451376605E8	0.0
1.457619085E8	0.0
1.463861565E8	0.0
1.470104045E8	0.0
1.476346525E8	0.0
1.482589005E8	0.0
1.488831485E8	0.0
1.495073965E8	0.0
1.501316445E8	0.0
1.507558925E8	0.0
1.513801405E8	0.0
1.520043885E8	0.0
1.526286365E8	0.0
1.532528845E8	0.0
1.538771325E8	0.0
1.545013805E8	0.0
1.551256285E8	0.0
1.557498765E8	0.0
1.563741245E8	0.0
1.569983725E8	0.0
1.576226205E8	0.0
1.582468685E8	0.0
1.588711165E8	0.0
1.594953645E8	0.0
1.601196125E8	0.0
1.607438605E8	0.0
1.613681085E8	0.0
1.619923565E8	0.0
1.626166045E8	0.0
1.632408525E8	0.0
1.638651005E8	0.0
1.644893485E8	0.0
1.651135965E8	0.0
1.657378445E8	0.0
1.663620925E8	0.0
1.669863405E8	0.0
1.676105885E8	0.0
1.682348365E8	0.0
1.688590845E8	0.0
1.694833325E8	0.0
1.701075805E8	0.0
1.707318285E8	0.0
1.713560765E8	0.0
1.719803245E8	0.0
1.726045725E8	0.0
1.732288205E8	0.0
1.738530685E8	0.0
1.744773165E8	0.0
1.751015645E8	0.0
1.757258125E8	0.0
1.763500605E8	0.0
1.769743085E8	0.0
1.775985565E8	0.0
1.782228045E8	0.0
1.788470525E8	0.0
1.794713005E8	0.0
1.800955485E8	0.0
1.807197965E8	0.0
1.813440445E8	0.0
1.819682925E8	0.0
1.825925405E8	0.0
1.832167885E8	0.0
1.838410365E8	0.0
